epoch,artist_acc,artist_loss,loss,mat_loss,mat_precision,type_loss,type_precision,val_artist_acc,val_artist_loss,val_loss,val_mat_loss,val_mat_precision,val_type_loss,val_type_precision,val_year_loss,val_year_mean_absolute_error,year_loss,year_mean_absolute_error
0,0.7686518346061881,0.7528678901318012,18.06939950913035,0.12522041694753613,0.8672774885610448,0.14794349765005224,0.8003123757668347,0.9595959517690871,0.17820845348666411,16.522329099250562,0.04559954116591299,0.9898989941134597,0.06887564439364154,0.9509860421672012,1605.1436607283774,1605.1436607283774,1629.0500270983312,1629.0500270983312
1,0.9604057563537078,0.13517236720809606,15.836251868003325,0.04384578402271173,0.9744918029657833,0.06585164941574266,0.94604475133082,0.9696969690949025,0.1120026290717751,14.702786570847637,0.036348917192280894,0.9898989941134597,0.05335106346944366,0.9351694909009066,1438.9081365411932,1438.9081365411932,1545.6210033157108,1545.6210033157108
2,0.9872382203633873,0.07274654792153633,12.195244669290114,0.03815991535212318,0.9708661460439573,0.05507083249605061,0.9590290287090222,0.9090909012640366,0.24875160058339438,8.715997108305343,0.03191389687208816,0.9797979816041812,0.0529805716277674,0.9363995639964787,813.35996130741,813.35996130741,1195.6521125513846,1195.6521125513846
3,0.9499345520091931,0.13968627708196074,3.9897380674072584,0.029111283193909227,0.9882182572524585,0.06370546814195656,0.9513574041309157,0.9292929190577883,0.20131943322191334,2.14868318914163,0.04083000872204212,0.9898989941134597,0.06214753734041946,0.9176348345448272,164.3066864013672,164.3066864013672,361.7548845301124,361.7548845301124
4,0.9597513106168877,0.1074043945545639,1.8442799917066284,0.026783309454303746,0.9891802816802918,0.04926587735742809,0.9626078507351001,0.8282828216600899,0.42674449929083236,2.1499625408288203,0.04643319451221914,0.9523853183996798,0.04986637834497173,0.942653805920572,120.0173902415266,120.0173902415266,155.34220670530308,155.34220670530308
5,0.946989529575977,0.12358884140483412,1.5369349504328522,0.027742365618162918,0.9850416160066714,0.047451532154504934,0.9563897584433331,0.868686875309607,0.46145278125098255,1.925629400243663,0.03731254477411358,0.9812212983767191,0.051584307856933034,0.9294576090995712,91.38269867559876,91.38269867559876,121.45633925193268,121.45633925193268
6,0.9283376953988799,0.25722027533640873,1.5945882702061018,0.03106927804788148,0.9798236116376847,0.043518562708537614,0.9646848042285879,0.7171717081407104,1.9140352046850957,4.702071069466947,0.03643753734003338,0.9903799909533877,0.05634413885347771,0.9005165443275914,78.1218963777176,78.1218963777176,100.55599090815839,100.55599090815839
7,0.8929973797024232,0.5618858852818224,2.067016579717866,0.030968494885605675,0.9825235405517498,0.04079527559894971,0.9663340194999236,0.9494949440763454,0.16244689224645345,1.1415515222934762,0.042930866657483455,0.9797979749814428,0.06251223001516226,0.9307650875563573,71.12146462334528,71.12146462334528,87.14810764851994,87.14810764851994
8,0.9479712054367465,0.26096474324399027,1.3603249855378536,0.024748469133051027,0.9901780587528388,0.03656388998046244,0.972613427339424,0.9494949440763454,0.2396889626227244,1.2259117461214162,0.04831434248222245,0.9887766500916144,0.060023686801544344,0.8921099407504304,63.819577650590375,63.819577650590375,77.708316253742,77.708316253742
9,0.9397905756041641,0.2589813430225731,1.2755043011217218,0.021335098399399444,0.9956472943590574,0.03194565934687365,0.9795358967406588,0.9696969690949025,0.08919701063911421,0.8517115742269189,0.04441700815552413,0.9887766500916144,0.04420647570731664,0.9442408590605764,58.46940608939739,58.46940608939739,70.42608797362962,70.42608797362962
10,0.9270287959675514,0.2923584457894227,1.2725685452603546,0.02050951455722207,0.996516790377532,0.027638944101468683,0.9834956174121477,0.9191919017319727,0.3065491339775047,1.2496058916804766,0.050389966127848386,0.9873737373737373,0.04255543878734714,0.9290077445482967,54.35622467657532,54.35622467657532,63.970322544037984,63.970322544037984
11,0.9015052343538295,0.5269240481058964,1.690878966637931,0.02200428853849708,0.994189384251989,0.027186260212923485,0.9849911408586652,0.9696969690949025,0.07950450898344497,0.7472124262289568,0.03389714080417021,0.9898989874907215,0.04624298508420135,0.9589947106862309,50.80632955377752,50.80632955377752,58.78403298143317,58.78403298143317
12,0.9188481692556312,0.5519769754272901,1.6903684967787478,0.021400563819023825,0.995559467227047,0.027477033765735445,0.9822745686738279,0.9090909145095132,0.6491745090996376,1.8749176179519806,0.04756220567482288,1.0,0.04099378926735936,0.9599166229517773,48.80126483030993,48.80126483030993,53.75369424470432,53.75369424470432
13,0.985602094708937,0.07205463031238794,0.6743630394339561,0.02057018749087428,0.996516790377532,0.025912591549372838,0.9849182109870211,0.9898989941134597,0.04644938289893984,0.6375568177964952,0.04265275099926224,1.0,0.03876712903229877,0.9612284429145582,46.32381909302991,46.32381909302991,48.37710108931776,48.37710108931776
